Protein,TP,Annotated_Residues,TPR,FP,Non-Annotated_Residues,FPR
2SIC.E,17,17,1,258,258,1
2A5T.A,10,10,1,261,261,1
1DFJ.I,18,18,1,438,438,1
2BTF.A,18,18,1,356,356,1
1KLU.D,11,11,1,219,219,1
4JCV.E,11,11,1,203,203,1
4G6M.H,14,14,1,419,419,1
3R9A.B,17,17,1,272,272,1
2B42.B,21,21,1,164,164,1
1KAC.A,9,9,1,176,176,1
1GXD.C,18,18,1,174,174,1
2FD6.H,14,14,1,406,406,1
1DE4.E,21,21,1,78,78,1
3G6D.L,15,15,1,418,418,1
3SZK.F,11,11,1,130,130,1
1JIW.I,15,15,1,91,91,1
1JIW.P,20,20,1,450,450,1
1ACB.I,11,11,1,52,52,1
1GHQ.A,5,5,1,303,303,1
1VFB.A,15,15,1,208,208,1
3SZK.E,12,12,1,111,111,1
2B42.A,19,19,1,345,345,1
1KAC.B,12,12,1,112,112,1
1ZHH.A,13,13,1,331,331,1
3EO1.A,12,12,1,419,419,1
2W9E.H,17,17,1,410,410,1
1DQJ.A,18,18,1,406,406,1
3EOA.L,12,12,1,417,417,1
1FC2.D,10,10,1,197,197,1
2A5T.B,14,14,1,262,262,1
2C0L.A,19,19,1,274,274,1
1TMQ.A,18,18,1,452,452,1
1US7.A,7,7,1,200,200,1
4M76.B,12,12,1,167,167,1
2HLE.B,13,13,1,120,120,1
2B4J.C,8,8,1,74,74,1
1AVX.A,19,19,1,201,201,1
2CFH.C,10,10,1,139,139,1
1XQS.A,23,23,1,241,241,1
3L5W.L,10,10,1,426,426,1
1T6B.Y,14,14,1,156,156,1
1ML0.A,9,9,1,363,363,1
1OFU.A,12,12,1,296,296,1
1ZHI.B,8,8,1,117,117,1
1F34.A,22,22,1,303,303,1
2AJF.E,11,11,1,163,163,1
1ZHI.A,9,9,1,186,186,1
3S9D.B,12,12,1,168,168,1
1US7.B,8,8,1,185,185,1
1E6J.H,7,7,1,422,422,1
4M76.A,7,7,1,289,289,1
1TMQ.B,15,15,1,102,102,1
2BTF.P,18,18,1,121,121,1
3BX7.C,16,16,1,104,104,1
1E4K.C,12,12,1,160,160,1
2VDB.A,11,11,1,563,563,1
1KXP.A,20,20,1,329,329,1
1FLE.E,11,11,1,218,218,1
1AK4.A,9,9,1,156,156,1
3MXW.L,14,14,1,412,412,1
2VXT.H,13,13,1,403,403,1
4DN4.L,14,14,1,413,413,1
2VIS.A,12,12,1,419,419,1
1QA9.A,13,13,1,90,90,1
1MQ8.B,12,12,1,166,166,1
3DAW.B,16,16,1,124,124,1
3HMX.L,16,16,1,415,415,1
3F1P.B,18,18,1,93,93,1
3AAA.C,11,11,1,106,106,1
3F1P.A,13,13,1,101,101,1
3BX7.A,16,16,1,157,157,1
3DAW.A,20,20,1,353,353,1
1QA9.B,15,15,1,80,80,1
1MLC.A,13,13,1,419,419,1
4G6J.H,16,16,1,414,414,1
1T6B.X,12,12,1,664,664,1
1JPS.H,16,16,1,410,410,1
2J0T.A,18,18,1,144,144,1
4FQI.H,11,11,1,402,402,1
1AHW.A,20,20,1,408,408,1
2HQS.A,17,17,1,395,395,1
1FFW.A,8,8,1,120,120,1
3HI6.X,15,15,1,411,411,1
7CEI.B,10,10,1,117,117,1
1GXD.A,21,21,1,603,603,1
3V6Z.A,21,21,1,419,419,1
1ACB.E,13,13,1,228,228,1
1AY7.A,9,9,1,87,87,1
1BGX.H,31,31,1,384,384,1
1KXP.D,26,26,1,412,412,1
3VLB.A,15,15,1,390,390,1
1KTZ.A,7,7,1,75,75,1
3BIW.A,9,9,1,524,524,1
1EXB.E,3,3,1,88,88,1
2O3B.A,15,15,1,226,226,1
2SIC.I,11,11,1,97,97,1
3VLB.B,17,17,1,201,201,1
1DFJ.E,18,18,1,106,106,1
1IRA.X,23,23,1,122,122,1
1AY7.B,9,9,1,80,80,1
2HRK.B,8,8,1,113,113,1
2J0T.D,11,11,1,114,114,1
7CEI.A,13,13,1,74,74,1
1FFW.B,10,10,1,58,58,1
1PVH.B,8,8,1,161,161,1
3RVW.C,13,13,1,416,416,1
